Номер кластера;Номер узла;Расстояние до узла;accountNumber;airline;auto;entertainment;fastfood;food;furniture;health;hotels;online_gifts;online_retail;personal care;rideshare;subscriptions;transactionAmount|Сумма;transactionAmount|Среднее;merchantCategoryCode|Кол-во уникальных;creditLimit|Среднее;currentBalance|Среднее;transactionDateTime|Количество
117;117;0,3954915361192417;100088067;0;0;0,23279314350459845;0;0,15499879158946264;0;0;0;0,478852815596552;0,07120526607121047;0;0;0;7696,0599999999995;105,42547945205479;6;50000;237,02315068493155;73
128;128;0,03774581007096418;100108752;0;0;0;0;0;0;0;0;0;0;0;0,18457838569066587;0;997,9499999999999;55,44166666666666;2;5000;383,52;18
13;13;0,21341452464247448;100328049;0;0;0;0,6456222395427379;0,06949899978306479;0;0;0;0;0,06793329371908348;0;0,19186244423351126;0;11662,470000000007;119,00479591836742;7;5000;441,23571428571444;98
143;143;0,20847073267631375;100663626;0;0;0;0,7710342293301278;0;0;0;0;0;0,22896577066987214;0;0;0;6422,270000000001;214,0756666666667;2;20000;2346,1993333333335;30
0;0;0,10999835660817617;100737756;0;0;0;0;0,9731619257587697;0;0;0;0;0,026838074241230355;0;0;0;29265,14;173,16650887573965;2;250;118,79023668639053;169
8;8;0,26059206148571645;100947057;0;0;0;0,22468057550373177;0;0;0;0,7543980539804566;0;0;0;0;0;1204,5100000000002;150,56375000000003;3;1000;47,431250000000006;8
308;308;0,21645478019256617;101132326;0;0;0,3881881824205584;0;0,5375058819010304;0;0;0;0;0;0;0,03748955662470112;0;10413,299999999997;165,29047619047614;5;1000;484,8585714285714;63
243;243;0,14755218039508508;101339369;0;0,043056775458799795;0;0;0;0;0;0;0,1310292265581069;0,27024226116618105;0;0;0;2151,81;58,15702702702703;5;2500;111,6927027027027;37
279;279;0,21950507022305382;101376441;0;0;0;0,01659567304359635;0;0;0;0;0,21577911669880354;0,7617330460579087;0;0;0;7068,710000000003;119,80864406779666;4;7500;325,53186440677956;59
194;194;0,2934903173754288;101380713;0;0,23595492379954264;0;0,01520642906995272;0;0;0;0;0;0,5221549098857499;0;0,22668373724475485;0;17824,039999999997;160,5769369369369;4;10000;4946,143603603604;111
120;120;0,1226555526071722;101394465;0;0;0;0,01405303653748007;0,00403728297356472;0;0;0;0,06888276941844594;0;0,886263141224684;0,009543423267419172;0;14460,219999999994;137,7163809523809;6;5000;561,7760000000001;105
