cluster_id;node_id;distance;accountNumber;transactionAmount|Сумма;transactionDateTime|Количество;transactionDateTime|Минимум;transactionDateTime|Максимум;transactionAmount|Среднее;merchantCategoryCode|Мода;merchantCategoryCode|Кол-во уникальных
62;62;0,009401827927708628;737265056;188;4;13.08.2016 14:27:32;10.12.2016 02:14:50;47;mobileapps;3
7;7;0,007577896281512462;830329091;1179,81;11;24.03.2016 21:04:46;28.12.2016 06:43:01;107,25545454545454;fastfood;2
95;95;0,005633899109093949;574788567;7623,82;74;02.01.2016 11:19:46;24.12.2016 16:14:13;103,02459459459459;auto;4
44;44;0,025408170157805887;924729945;2452,88;12;08.01.2016 15:06:39;01.12.2016 07:56:47;204,40666666666667;online_retail;1
212;212;0,01731634189207494;984504651;127539,39000000003;843;01.01.2016 17:22:05;29.12.2016 17:25:40;151,29227758007121;health;8
161;161;0,008188471021079238;114896048;73761,26;524;01.01.2016 17:50:18;29.12.2016 16:20:33;140,76576335877863;online_retail;5
83;83;0,0017183836393137933;482277829;15918,300000000001;118;05.01.2016 04:19:40;30.12.2016 02:42:15;134,90084745762712;online_retail;4
53;53;0,0016447547010137937;239577603;5040,149999999996;39;06.01.2016 03:15:16;17.12.2016 03:08:14;129,2346153846153;online_retail;3
205;205;0,003538222712696197;863358589;63669,61000000002;465;02.01.2016 16:38:00;30.12.2016 22:33:16;136,92389247311831;fastfood;6
33;33;0,003156287193966235;711536931;1019,1099999999999;21;02.03.2016 03:41:56;29.12.2016 19:31:32;48,52904761904762;fastfood;2
44;44;0,01682735934359478;717666470;2264,1;10;21.01.2016 15:17:13;24.12.2016 12:58:41;226,41;online_retail;1
144;144;0,003211453298885618;462848736;6168,099999999999;47;22.01.2016 04:49:25;25.12.2016 22:17:26;131,23617021276596;online_retail;5
85;85;0,005508980415628363;593712464;5036,17;33;05.01.2016 09:24:09;24.12.2016 16:47:23;152,61121212121213;health;4
94;94;0,003441474252966313;488934870;3920,049999999999;42;04.01.2016 05:55:24;24.12.2016 10:04:12;93,33452380952379;fastfood;4
110;110;0,005038855818417028;782635414;5164,259999999996;54;13.01.2016 04:16:08;26.12.2016 04:23:15;95,63444444444437;gym;4
183;183;0,00980696348144655;558528521;5427,280000000001;45;02.01.2016 04:44:53;27.12.2016 09:52:14;120,60622222222224;online_gifts;7
143;143;0,004051606301687472;130517112;9020,45;79;01.01.2016 13:20:18;28.12.2016 02:56:50;114,18291139240507;fastfood;5
10;10;0,0017578327322347613;222396921;15174,34;103;01.01.2016 18:44:07;24.12.2016 02:38:47;147,32368932038835;fastfood;2
