Номер кластера;Номер узла;Расстояние до узла;transactionAmount|Сумма;transactionDateTime|Количество;transactionAmount|Среднее;merchantCategoryCode|Кол-во уникальных;accountNumber;transactionDateTime|Минимум;transactionDateTime|Максимум;merchantCategoryCode|Мода;creditLimit|Среднее;currentBalance|Среднее
5;5;0,188304689522893;188;4;47;3;737265056;13.08.2016 14:27:32;10.12.2016 02:14:50;mobileapps;5000;0
46;46;0,10973007156776131;1179,81;11;107,25545454545454;2;830329091;24.03.2016 21:04:46;28.12.2016 06:43:01;fastfood;5000;23,079090909090908
123;123;0,1793775134698384;7404,82;72;102,84472222222222;4;574788567;02.01.2016 11:19:46;24.12.2016 16:14:13;auto;2500;197,74833333333333
218;218;0,17626227039702996;2284,31;11;207,66454545454545;1;924729945;08.01.2016 15:06:39;01.12.2016 07:56:47;online_retail;50000;26,66
97;97;1,0607848112245999;123310,68000000002;818;150,7465525672372;8;984504651;01.01.2016 17:22:05;29.12.2016 17:25:40;health;50000;28826,948789731036
181;181;0,05698856330016752;69653,89999999998;499;139,58697394789576;5;114896048;01.01.2016 17:50:18;29.12.2016 16:20:33;online_retail;15000;8826,392104208413
199;199;0,04341325143296705;15254,520000000002;115;132,64800000000002;4;482277829;05.01.2016 04:19:40;30.12.2016 02:42:15;online_retail;5000;2791,0705217391296
170;170;0,06404853091896588;5040,149999999996;39;129,2346153846153;3;239577603;06.01.2016 03:15:16;17.12.2016 03:08:14;online_retail;5000;3031,4412820512816
90;90;0,053924816286393354;57800,63000000002;412;140,29279126213598;6;863358589;02.01.2016 16:38:00;30.12.2016 22:33:16;fastfood;2500;1255,1272572815526
15;15;0,34075151934573583;1019,1099999999999;21;48,52904761904762;2;711536931;02.03.2016 03:41:56;29.12.2016 19:31:32;fastfood;50000;28,561428571428575
172;172;0,13563424356884612;1118,58;8;139,8225;1;717666470;21.02.2016 03:46:10;24.12.2016 12:58:41;online_retail;10000;566,11625
182;182;0,08912792008061637;5797,960000000001;45;128,84355555555558;5;462848736;22.01.2016 04:49:25;25.12.2016 22:17:26;online_retail;10000;2798,634666666667
113;113;0,17435081449302858;4867,51;32;152,1096875;4;593712464;05.01.2016 09:24:09;24.12.2016 16:47:23;health;2500;1286,1990625
75;75;0,13421363567995412;3920,049999999999;42;93,33452380952379;4;488934870;04.01.2016 05:55:24;24.12.2016 10:04:12;fastfood;10000;176,67190476190476
50;50;0,2403913511023969;4881,309999999996;51;95,71196078431365;4;782635414;13.01.2016 04:16:08;26.12.2016 04:23:15;gym;5000;2620,246274509805
70;70;0,19624709551044583;5427,280000000001;45;120,60622222222224;7;558528521;02.01.2016 04:44:53;27.12.2016 09:52:14;online_gifts;15000;225,70266666666663
91;91;0,06513828413743973;8873,35;78;113,76089743589743;5;130517112;01.01.2016 13:20:18;26.12.2016 14:48:15;fastfood;5000;2591,335128205128
45;45;0,08791460451361693;13987,73;96;145,70552083333334;2;222396921;01.01.2016 18:44:07;24.12.2016 02:38:47;fastfood;250;112,64812499999998
169;169;0,1397326070744319;10317,990000000002;54;191,07388888888892;3;203674388;17.01.2016 06:28:41;30.12.2016 13:06:33;online_retail;10000;4552,507407407406
118;118;0,07493310832685954;10640,589999999998;79;134,69101265822783;4;571750534;03.01.2016 01:07:51;30.12.2016 12:29:47;entertainment;2500;1165,0324050632912
119;119;0,11832412367271603;3154,789999999999;41;76,94609756097559;3;303278424;03.01.2016 22:28:35;19.12.2016 19:18:04;entertainment;250;61,451219512195124
36;36;0,14982238240758955;533,1000000000001;14;38,078571428571436;4;351299769;27.02.2016 16:35:12;30.11.2016 22:24:27;mobileapps;5000;303,1978571428571
10;10;0,09199709178972845;17573,249999999996;106;165,78537735849054;3;815239280;02.01.2016 23:14:42;28.12.2016 14:23:03;food;5000;2459,6506603773573
73;73;0,10185399316143996;1489,07;29;51,34724137931034;5;912643787;18.03.2016 15:10:03;28.12.2016 22:19:43;fuel;250;54,36655172413793
29;29;0,06215637863794247;631,82;19;33,253684210526316;3;659080615;10.05.2016 05:19:26;19.12.2016 21:33:48;fuel;15000;27,428947368421056
30;30;0,08932285950174677;1688,3799999999999;11;153,4890909090909;3;894468491;16.01.2016 05:06:38;26.12.2016 08:42:16;fastfood;15000;911,0227272727273
169;169;0,03298538044388142;17824,039999999997;111;160,5769369369369;4;101380713;02.01.2016 05:10:39;26.12.2016 04:47:11;online_retail;10000;4946,143603603604
66;66;0,19982204957471889;9705,979999999998;80;121,32474999999997;6;749990456;03.01.2016 08:43:22;30.12.2016 01:47:15;subscriptions;500;178,20537500000006
107;107;0,04916174726306697;57638,110000000066;431;133,73111368909528;6;805566864;02.01.2016 10:35:10;29.12.2016 18:29:06;fastfood;15000;8775,41368909513
194;194;0,06270887914908468;5410,15;44;122,95795454545454;2;304953744;01.01.2016 09:53:21;28.12.2016 01:07:42;rideshare;5000;2444,1315909090913
60;60;0,16359560726970737;664,95;16;41,559375;3;277846799;20.02.2016 17:02:15;20.12.2016 11:35:48;fastfood;1000;17,6525
10;10;0,11470735446935078;10030,020000000004;69;145,36260869565223;3;715152804;21.01.2016 14:48:44;22.12.2016 22:14:39;food;250;125,12608695652177
46;46;0,15851173729523999;1676,48;12;139,70666666666668;2;736136951;08.03.2016 09:24:59;08.12.2016 11:01:52;fastfood;1000;439,3983333333333
199;199;0,03516009395224024;79386,15000000001;534;148,66320224719104;4;419989841;01.01.2016 03:52:48;30.12.2016 20:41:10;online_retail;5000;3008,4428838951285
170;170;0,046571396224924864;4799,9;32;149,996875;3;693697093;05.01.2016 03:35:45;30.12.2016 12:45:27;online_retail;7500;1563,6421874999996
36;36;0,1177697260112423;640,35;11;58,21363636363637;2;281639186;14.02.2016 05:50:21;13.12.2016 06:21:06;mobileapps;2500;52,04727272727273
134;134;0,04844046544417009;6041,509999999999;48;125,86479166666665;5;349190736;01.01.2016 21:36:13;21.12.2016 02:35:41;entertainment;2500;199,0954166666667
123;123;0,247675517896385;22602,50999999999;165;136,98490909090904;7;486180757;02.01.2016 00:22:23;27.12.2016 16:09:34;auto;15000;976,7881818181821
39;39;0,16130852693002917;4056,5199999999995;36;112,6811111111111;5;245118458;06.01.2016 21:29:53;24.12.2016 23:02:53;food;15000;123,38888888888889
194;194;0,07666974654256435;26225,55999999999;182;144,09648351648346;3;388159188;06.01.2016 02:04:06;29.12.2016 11:11:13;rideshare;5000;1191,4972527472526
189;189;0,05462604337621917;5368,57;37;145,09648648648647;4;344604765;17.01.2016 15:06:27;29.12.2016 01:52:26;online_retail;15000;2330,8799999999997
36;36;0,13328771614174612;317,09;14;22,649285714285714;4;288118894;06.02.2016 00:59:41;11.12.2016 12:50:37;mobileapps;7500;46,199999999999996
42;42;0,14506050243764096;1712,8200000000004;25;68,51280000000001;3;657020139;01.01.2016 17:32:14;24.12.2016 07:43:36;fuel;10000;630,2636
25;25;0,13188131180125484;11963,860000000002;82;145,9007317073171;4;642308149;03.01.2016 04:05:04;30.12.2016 12:23:47;food;10000;4614,89475609756
42;42;0,10572790006706322;846,84;16;52,9275;4;988172671;02.01.2016 19:45:33;29.12.2016 19:50:56;fuel;250;79,29687500000001
106;106;0,11021243258607849;59157,74;403;146,79339950372207;7;631747753;01.01.2016 01:27:58;29.12.2016 07:14:08;fastfood;15000;2547,3440446650106
142;142;0,3383632672228532;18420,610000000008;145;127,03868965517246;7;389428961;12.01.2016 16:52:49;30.12.2016 04:06:48;food_delivery;7500;856,9120689655172
